"","X","LONELY","KIDS","ADULTS","VOLUNTEE","NUMHOUSEHOLD","AGE","LIVEALONE"
"1",1,0,0,2,2,2,71,"No"
"2",2,0,3,2,1,5,35,"No"
"3",3,0,0,2,1,2,70,"No"
"4",4,2,3,2,2,5,51,"No"
"5",5,0,0,2,1,2,71,"No"
"6",6,2,0,2,1,2,82,"No"
"7",7,0,0,5,2,5,53,"No"
"8",8,0,0,2,1,2,81,"No"
"9",9,0,0,2,2,2,78,"No"
"10",10,0,0,2,2,2,31,"No"
"11",11,0,1,2,2,3,45,"No"
"12",12,0,0,1,2,1,71,"Yes"
"13",13,0,0,1,7,1,86,"Yes"
"14",14,0,0,4,2,4,68,"No"
"15",15,0,2,2,1,4,47,"No"
"16",16,0,0,2,2,2,85,"No"
"17",17,0,0,2,1,2,68,"No"
"18",18,0,1,4,2,5,51,"No"
"19",19,1,0,1,2,1,70,"Yes"
"20",20,0,2,2,7,4,45,"No"
"21",21,0,2,3,1,5,56,"No"
"22",22,0,0,2,2,2,69,"No"
"23",23,0,3,2,2,5,39,"No"
"24",24,0,0,2,1,2,69,"No"
"25",25,0,0,1,2,1,64,"Yes"
"26",26,1,0,2,1,2,74,"No"
"27",27,0,0,3,2,3,74,"No"
"28",28,0,2,2,7,4,29,"No"
"29",29,0,3,2,1,5,46,"No"
"30",30,0,1,1,1,2,52,"No"
"31",31,0,0,2,1,2,55,"No"
"32",32,0,0,2,1,2,85,"No"
"33",33,0,1,2,2,3,51,"No"
"34",34,0,0,2,1,2,75,"No"
"35",35,0,1,2,2,3,38,"No"
"36",36,0,0,2,1,2,84,"No"
"37",37,7,4,2,1,6,48,"No"
"38",38,0,0,2,1,2,72,"No"
"39",39,0,2,2,1,4,44,"No"
"40",40,0,0,2,2,2,60,"No"
"41",41,0,0,2,2,2,31,"No"
"42",42,0,2,2,1,4,44,"No"
"43",43,0,1,2,1,3,44,"No"
"44",44,0,1,3,1,4,55,"No"
"45",45,0,0,1,2,1,79,"Yes"
"46",46,0,0,4,2,4,73,"No"
"47",47,0,1,2,2,3,40,"No"
"48",48,0,1,3,1,4,50,"No"
"49",49,0,0,2,1,2,71,"No"
"50",50,0,0,2,2,2,62,"No"
"51",51,0,0,2,1,2,45,"No"
"52",52,0,0,5,2,5,58,"No"
"53",53,0,0,3,1,3,68,"No"
"54",54,0,0,3,2,3,47,"No"
"55",55,0,0,1,1,1,93,"Yes"
"56",56,0,0,2,2,2,72,"No"
"57",57,0,0,2,1,2,78,"No"
"58",58,0,2,2,2,4,34,"No"
"59",59,0,2,2,1,4,38,"No"
"60",60,0,0,1,2,1,69,"Yes"
"61",61,0,0,2,1,2,69,"No"
"62",62,0,2,2,1,4,46,"No"
"63",63,0,0,2,2,2,75,"No"
"64",64,0,0,2,2,2,76,"No"
"65",66,7,0,2,1,2,87,"No"
"66",67,0,0,2,1,2,73,"No"
"67",68,1,3,2,1,5,32,"No"
"68",69,0,0,1,1,1,78,"Yes"
"69",70,2,0,1,2,1,73,"Yes"
"70",71,0,1,2,1,3,49,"No"
"71",72,2,0,1,2,1,80,"Yes"
"72",73,0,0,2,2,2,62,"No"
"73",74,0,0,1,1,1,76,"Yes"
"74",75,0,0,2,2,2,32,"No"
"75",76,0,0,1,2,1,74,"Yes"
"76",77,0,0,3,1,3,68,"No"
"77",78,0,0,1,1,1,69,"Yes"
"78",79,0,0,2,2,2,71,"No"
"79",80,0,0,1,2,1,45,"Yes"
"80",81,0,1,2,1,3,41,"No"
"81",82,0,0,2,1,2,78,"No"
"82",83,0,2,2,1,4,54,"No"
"83",84,0,1,3,1,4,57,"No"
"84",85,0,0,4,2,4,48,"No"
"85",86,0,0,2,2,2,66,"No"
"86",87,0,1,2,2,3,37,"No"
"87",88,0,0,5,1,5,54,"No"
"88",89,0,0,2,2,2,70,"No"
"89",90,0,0,1,1,1,82,"Yes"
"90",91,0,0,2,2,2,85,"No"
"91",92,0,0,3,1,3,68,"No"
"92",93,0,1,2,1,3,52,"No"
"93",94,1,2,2,1,4,42,"No"
"94",95,7,0,1,2,1,88,"Yes"
"95",96,0,0,1,2,1,80,"Yes"
"96",97,0,0,1,1,1,79,"Yes"
"97",98,0,0,3,1,3,55,"No"
"98",99,0,0,2,1,2,56,"No"
"99",100,0,0,3,1,3,76,"No"
"100",101,1,0,1,1,1,77,"Yes"
"101",102,7,0,1,2,1,35,"Yes"
"102",103,0,0,1,2,1,74,"Yes"
"103",104,0,0,1,1,1,54,"Yes"
"104",105,0,0,2,2,2,74,"No"
"105",106,0,1,2,1,3,68,"No"
"106",107,0,0,2,1,2,74,"No"
"107",108,2,2,2,2,4,44,"No"
"108",109,2,0,1,1,1,78,"Yes"
"109",110,0,0,2,2,2,72,"No"
"110",111,7,1,2,2,3,39,"No"
"111",112,0,3,2,1,5,37,"No"
"112",113,1,0,1,2,1,38,"Yes"
"113",114,0,0,2,1,2,80,"No"
"114",115,0,0,1,1,1,73,"Yes"
"115",116,0,0,3,2,3,65,"No"
"116",117,0,0,1,2,1,90,"Yes"
"117",118,3,3,2,2,5,47,"No"
"118",119,0,3,2,2,5,49,"No"
"119",120,0,0,2,1,2,39,"No"
"120",121,3,2,2,2,4,42,"No"
"121",122,0,1,2,2,3,29,"No"
"122",123,0,0,1,1,1,77,"Yes"
"123",124,0,0,1,1,1,87,"Yes"
"124",125,0,0,2,1,2,52,"No"
"125",126,0,0,2,2,2,81,"No"
"126",127,0,0,2,1,2,78,"No"
"127",128,0,1,3,1,4,60,"No"
"128",129,1,0,4,2,4,63,"No"
"129",130,7,0,2,1,2,73,"No"
"130",131,0,0,3,2,3,61,"No"
"131",133,0,0,2,2,2,58,"No"
"132",134,0,0,2,2,2,65,"No"
"133",135,7,3,1,2,4,44,"No"
"134",136,0,2,3,2,5,48,"No"
"135",137,0,0,2,1,2,54,"No"
"136",138,0,0,2,1,2,85,"No"
"137",139,0,0,1,1,1,53,"Yes"
"138",140,0,0,3,2,3,36,"No"
"139",141,0,0,2,1,2,69,"No"
"140",142,0,0,2,2,2,35,"No"
"141",143,0,0,2,2,2,70,"No"
"142",144,0,0,3,2,3,69,"No"
"143",145,0,4,2,1,6,39,"No"
"144",146,0,1,1,1,2,53,"No"
"145",147,0,2,1,1,3,41,"No"
"146",148,0,0,3,2,3,55,"No"
"147",149,2,0,1,1,1,41,"Yes"
"148",150,0,1,1,2,2,33,"No"
"149",151,0,1,3,1,4,49,"No"
"150",152,0,0,2,2,2,39,"No"
"151",153,0,2,2,1,4,53,"No"
"152",154,1,2,1,2,3,42,"No"
"153",155,0,2,2,1,4,55,"No"
"154",156,0,1,2,2,3,48,"No"
"155",157,0,1,2,2,3,58,"No"
"156",158,7,0,3,1,3,26,"No"
"157",159,0,1,1,2,2,55,"No"
"158",160,0,0,2,1,2,56,"No"
"159",161,0,0,1,2,1,75,"Yes"
"160",162,0,0,2,2,2,26,"No"
"161",163,0,0,3,2,3,51,"No"
"162",164,0,0,2,2,2,57,"No"
"163",165,0,0,2,2,2,66,"No"
"164",166,0,1,2,2,3,39,"No"
"165",167,0,4,2,1,6,48,"No"
"166",168,0,0,2,2,2,64,"No"
"167",169,0,3,2,1,5,60,"No"
"168",170,0,2,3,1,5,45,"No"
"169",172,0,0,2,2,2,73,"No"
"170",173,7,0,1,1,1,60,"Yes"
"171",174,0,2,2,2,4,44,"No"
"172",175,0,1,2,2,3,27,"No"
"173",176,0,0,4,1,4,81,"No"
"174",177,0,0,2,2,2,80,"No"
"175",178,0,1,2,2,3,57,"No"
"176",179,1,0,2,1,2,54,"No"
"177",180,0,0,2,1,2,80,"No"
"178",181,0,3,2,1,5,43,"No"
"179",182,0,1,2,1,3,33,"No"
"180",183,0,0,2,1,2,65,"No"
"181",184,3,0,1,2,1,65,"Yes"
"182",185,0,1,2,1,3,52,"No"
"183",186,0,3,2,1,5,47,"No"
"184",187,0,2,2,1,4,39,"No"
"185",188,1,2,2,1,4,34,"No"
"186",189,0,3,2,1,5,37,"No"
"187",190,0,0,4,2,4,79,"No"
"188",191,0,0,3,2,3,75,"No"
"189",192,0,0,2,1,2,80,"No"
"190",193,0,0,3,2,3,64,"No"
"191",194,0,0,2,1,2,74,"No"
"192",195,0,0,2,2,2,85,"No"
"193",196,0,0,2,1,2,89,"No"
"194",197,0,0,2,2,2,62,"No"
"195",198,0,1,2,2,3,55,"No"
"196",199,0,0,2,1,2,81,"No"
"197",200,3,0,3,1,3,54,"No"
"198",201,2,0,3,1,3,43,"No"
"199",202,0,0,1,2,1,75,"Yes"
"200",203,0,0,2,1,2,81,"No"
"201",204,0,0,4,2,4,26,"No"
"202",205,0,0,2,2,2,84,"No"
"203",206,0,2,2,2,4,50,"No"
"204",207,0,0,1,2,1,83,"Yes"
"205",208,0,0,1,2,1,55,"Yes"
"206",209,0,0,2,1,2,87,"No"
"207",210,0,0,2,1,2,78,"No"
"208",211,0,0,2,1,2,69,"No"
"209",212,4,0,2,2,2,70,"No"
"210",213,0,0,3,1,3,76,"No"
"211",214,0,0,1,1,1,70,"Yes"
"212",215,0,0,1,2,1,67,"Yes"
"213",216,0,0,1,2,1,72,"Yes"
"214",217,0,0,2,2,2,75,"No"
"215",218,0,2,3,2,5,25,"No"
"216",220,1,0,2,1,2,58,"No"
"217",221,1,1,2,2,3,36,"No"
"218",222,3,0,4,1,4,82,"No"
"219",223,0,0,2,1,2,68,"No"
"220",224,0,3,2,2,5,38,"No"
"221",225,0,3,2,1,5,39,"No"
"222",226,0,2,2,1,4,39,"No"
"223",227,0,0,4,1,4,75,"No"
"224",228,0,0,3,2,3,71,"No"
"225",229,0,0,1,1,1,72,"Yes"
"226",230,0,0,2,1,2,74,"No"
"227",231,0,2,4,1,6,52,"No"
"228",232,1,0,2,2,2,37,"No"
"229",233,0,0,1,2,1,75,"Yes"
"230",234,0,0,1,1,1,73,"Yes"
"231",235,0,0,2,1,2,77,"No"
"232",236,0,0,1,1,1,95,"Yes"
"233",237,0,0,2,1,2,78,"No"
"234",238,2,0,4,1,4,68,"No"
"235",239,0,4,2,2,6,42,"No"
"236",240,0,0,2,1,2,70,"No"
"237",241,5,0,1,2,1,44,"Yes"
"238",242,0,0,1,1,1,80,"Yes"
"239",243,0,1,3,1,4,45,"No"
"240",244,0,0,1,2,1,34,"Yes"
"241",245,0,0,2,1,2,59,"No"
"242",246,0,0,2,1,2,87,"No"
"243",247,0,0,2,1,2,69,"No"
"244",248,0,0,1,1,1,51,"Yes"
"245",249,0,2,2,1,4,60,"No"
"246",250,0,0,2,1,2,75,"No"
"247",251,0,0,2,1,2,71,"No"
"248",252,0,0,1,1,1,66,"Yes"
"249",253,0,0,1,1,1,90,"Yes"
"250",254,0,0,2,1,2,78,"No"
"251",255,0,0,1,1,1,81,"Yes"
"252",256,0,0,2,1,2,77,"No"
"253",257,0,2,3,1,5,52,"No"
"254",258,0,1,2,2,3,47,"No"
"255",259,0,2,2,1,4,30,"No"
"256",260,0,3,2,1,5,40,"No"
"257",261,0,0,2,2,2,92,"No"
"258",262,0,0,2,1,2,74,"No"
"259",263,0,0,1,2,1,68,"Yes"
"260",264,0,3,2,1,5,52,"No"
"261",265,0,0,2,1,2,83,"No"
"262",266,0,1,1,1,2,72,"No"
"263",267,0,0,4,2,4,78,"No"
"264",268,2,0,1,2,1,47,"Yes"
"265",269,0,0,2,1,2,59,"No"
"266",270,0,0,2,1,2,79,"No"
"267",271,0,0,2,1,2,55,"No"
"268",272,1,0,4,2,4,74,"No"
"269",273,0,0,2,2,2,70,"No"
"270",274,0,0,2,1,2,70,"No"
"271",275,0,0,3,2,3,54,"No"
"272",276,1,0,1,1,1,51,"Yes"
"273",277,0,1,4,1,5,26,"No"
"274",278,0,1,2,1,3,41,"No"
"275",279,0,0,1,2,1,91,"Yes"
"276",280,0,0,1,2,1,64,"Yes"
"277",281,0,0,2,1,2,70,"No"
"278",282,0,0,2,1,2,77,"No"
"279",283,0,0,2,1,2,69,"No"
"280",284,2,0,1,2,1,78,"Yes"
"281",285,7,0,1,2,1,35,"Yes"
"282",286,0,0,2,1,2,74,"No"
"283",287,0,0,2,2,2,69,"No"
"284",288,1,0,1,1,1,70,"Yes"
"285",289,0,3,3,2,6,41,"No"
"286",290,0,2,3,1,5,49,"No"
"287",291,2,0,2,1,2,76,"No"
"288",292,0,2,2,1,4,42,"No"
"289",293,0,0,1,2,1,61,"Yes"
"290",294,7,0,3,2,3,52,"No"
"291",295,0,0,4,2,4,30,"No"
"292",296,0,0,1,2,1,56,"Yes"
"293",297,0,0,2,2,2,78,"No"
"294",298,0,0,2,2,2,80,"No"
"295",299,0,0,2,1,2,73,"No"
"296",300,0,3,2,1,5,41,"No"
"297",301,0,0,2,2,2,71,"No"
"298",302,0,4,2,1,6,45,"No"
"299",303,0,0,1,2,1,93,"Yes"
"300",304,7,0,2,2,2,36,"No"
"301",305,0,0,1,1,1,88,"Yes"
"302",306,0,1,3,1,4,77,"No"
"303",307,0,0,1,2,1,47,"Yes"
"304",308,0,3,2,2,5,41,"No"
"305",309,0,0,2,2,2,32,"No"
"306",310,0,0,2,2,2,80,"No"
"307",311,0,0,1,2,1,87,"Yes"
"308",312,0,1,2,2,3,41,"No"
"309",313,0,2,2,1,4,40,"No"
"310",314,0,1,1,2,2,47,"No"
"311",315,0,0,2,2,2,41,"No"
"312",316,0,0,2,1,2,38,"No"
"313",317,0,0,2,1,2,73,"No"
"314",318,0,0,1,1,1,93,"Yes"
"315",319,0,1,2,1,3,48,"No"
"316",320,0,0,2,1,2,70,"No"
"317",321,0,1,2,1,3,53,"No"
"318",322,0,0,2,1,2,82,"No"
"319",323,5,0,2,2,2,76,"No"
"320",324,2,0,2,1,2,45,"No"
"321",325,0,0,2,1,2,66,"No"
"322",326,0,2,2,1,4,45,"No"
"323",327,0,0,2,1,2,76,"No"
"324",328,7,1,3,1,4,29,"No"
"325",329,0,2,2,1,4,43,"No"
"326",330,0,0,1,1,1,74,"Yes"
"327",331,0,2,2,1,4,50,"No"
"328",332,7,0,1,1,1,89,"Yes"
"329",333,0,0,2,2,2,68,"No"
"330",334,0,0,1,1,1,78,"Yes"
"331",335,0,1,3,1,4,54,"No"
"332",336,0,0,2,2,2,63,"No"
"333",337,3,2,2,1,4,35,"No"
"334",338,0,0,4,2,4,59,"No"
"335",339,0,0,2,2,2,58,"No"
"336",340,0,0,2,2,2,55,"No"
"337",341,0,0,1,2,1,84,"Yes"
"338",342,0,0,2,2,2,68,"No"
"339",343,4,2,2,2,4,49,"No"
"340",344,0,0,2,1,2,77,"No"
"341",345,0,0,2,2,2,52,"No"
"342",346,0,0,2,1,2,73,"No"
"343",347,0,1,15,2,16,84,"No"
"344",348,0,0,2,1,2,74,"No"
"345",349,0,0,3,1,3,71,"No"
"346",350,0,3,1,2,4,49,"No"
"347",351,7,0,1,2,1,74,"Yes"
"348",352,0,0,2,2,2,65,"No"
"349",353,0,1,5,1,6,73,"No"
"350",354,0,0,2,1,2,70,"No"
"351",355,0,0,2,2,2,70,"No"
"352",356,0,0,2,2,2,66,"No"
"353",357,0,0,2,1,2,79,"No"
"354",358,0,0,2,1,2,71,"No"
"355",359,0,0,3,2,3,82,"No"
"356",360,0,0,2,2,2,56,"No"
"357",361,0,0,1,1,1,74,"Yes"
"358",362,0,2,2,1,4,39,"No"
"359",363,0,1,2,2,3,51,"No"
"360",366,4,0,1,1,1,62,"Yes"
"361",367,0,0,2,2,2,36,"No"
"362",368,2,2,1,1,3,42,"No"
"363",369,0,0,2,1,2,78,"No"
"364",370,0,0,1,1,1,77,"Yes"
"365",371,0,0,1,1,1,83,"Yes"
"366",372,1,5,2,1,7,45,"No"
"367",373,0,0,2,1,2,73,"No"
"368",374,1,2,2,1,4,48,"No"
"369",375,0,2,3,1,5,48,"No"
"370",376,0,3,3,2,6,49,"No"
"371",377,1,3,2,1,5,48,"No"
"372",378,0,3,2,1,5,47,"No"
"373",379,0,1,2,2,3,39,"No"
"374",380,0,0,2,2,2,84,"No"
"375",381,0,0,1,1,1,57,"Yes"
"376",382,0,0,1,2,1,70,"Yes"
"377",383,1,0,1,1,1,73,"Yes"
"378",384,3,1,2,1,3,59,"No"
"379",385,0,2,2,2,4,45,"No"
"380",386,0,0,2,1,2,69,"No"
"381",387,0,2,2,1,4,46,"No"
"382",388,0,0,1,2,1,57,"Yes"
"383",389,3,0,2,2,2,60,"No"
"384",390,0,0,2,1,2,76,"No"
"385",391,0,0,3,2,3,62,"No"
"386",392,0,1,2,2,3,45,"No"
"387",393,0,0,2,1,2,63,"No"
"388",394,0,0,2,2,2,78,"No"
"389",395,0,0,1,2,1,79,"Yes"
"390",396,0,0,1,1,1,74,"Yes"
"391",397,0,0,2,1,2,70,"No"
"392",398,2,0,2,2,2,72,"No"
"393",399,0,2,2,1,4,46,"No"
"394",400,0,0,1,1,1,69,"Yes"
"395",401,0,1,2,1,3,40,"No"
"396",402,0,0,2,2,2,78,"No"
"397",403,0,0,2,2,2,71,"No"
"398",404,0,2,2,1,4,48,"No"
"399",405,0,1,2,1,3,35,"No"
"400",406,0,0,2,1,2,78,"No"
"401",407,0,1,2,2,3,31,"No"
"402",408,0,0,1,1,1,68,"Yes"
"403",409,0,2,2,1,4,37,"No"
"404",410,1,0,4,1,4,26,"No"
"405",412,0,0,3,2,3,70,"No"
"406",413,0,0,1,2,1,67,"Yes"
"407",414,0,0,2,1,2,69,"No"
"408",415,0,5,4,1,9,74,"No"
"409",416,0,0,1,1,1,83,"Yes"
"410",417,0,0,1,2,1,80,"Yes"
"411",418,0,0,1,1,1,80,"Yes"
"412",419,0,1,2,1,3,52,"No"
"413",420,0,0,2,1,2,74,"No"
"414",421,0,2,2,1,4,37,"No"
"415",422,0,0,2,2,2,75,"No"
"416",423,0,1,2,2,3,57,"No"
"417",424,0,0,2,2,2,46,"No"
"418",425,0,0,3,2,3,68,"No"
"419",426,0,0,2,1,2,34,"No"
"420",427,0,2,3,2,5,58,"No"
"421",428,0,0,1,1,1,62,"Yes"
"422",429,0,0,2,2,2,67,"No"
"423",430,0,0,2,1,2,74,"No"
"424",431,7,2,1,1,3,38,"No"
"425",432,0,0,1,2,1,47,"Yes"
"426",433,0,4,2,1,6,46,"No"
"427",434,0,0,4,1,4,55,"No"
"428",435,0,0,2,2,2,44,"No"
"429",436,6,1,1,2,2,42,"No"
"430",437,0,1,4,1,5,29,"No"
"431",438,0,0,2,2,2,89,"No"
"432",439,0,0,2,2,2,35,"No"
"433",440,0,0,2,1,2,82,"No"
"434",441,0,0,2,2,2,64,"No"
"435",442,1,0,1,2,1,69,"Yes"
"436",443,1,0,2,2,2,25,"No"
"437",444,2,3,2,2,5,41,"No"
"438",445,2,0,2,1,2,76,"No"
"439",446,0,0,1,1,1,73,"Yes"
"440",447,0,0,2,1,2,74,"No"
"441",448,1,0,2,1,2,71,"No"
"442",449,0,0,2,2,2,69,"No"
"443",450,0,0,2,2,2,68,"No"
"444",451,0,0,2,1,2,59,"No"
"445",452,0,0,2,2,2,59,"No"
"446",453,0,1,1,2,2,50,"No"
"447",454,1,2,2,2,4,50,"No"
"448",455,1,1,3,1,4,48,"No"
"449",456,0,0,1,1,1,46,"Yes"
"450",457,0,0,2,2,2,68,"No"
"451",458,0,2,2,1,4,41,"No"
"452",459,0,1,2,1,3,50,"No"
"453",460,0,0,1,1,1,92,"Yes"
"454",461,0,0,2,1,2,82,"No"
"455",462,4,0,2,1,2,88,"No"
"456",463,0,0,2,2,2,43,"No"
"457",464,0,3,2,1,5,43,"No"
"458",465,7,0,1,2,1,72,"Yes"
"459",466,0,0,3,2,3,68,"No"
"460",467,0,1,3,2,4,31,"No"
"461",468,0,0,3,2,3,45,"No"
"462",469,1,2,1,1,3,37,"No"
"463",470,0,0,2,1,2,71,"No"
"464",471,0,0,1,1,1,81,"Yes"
"465",472,0,0,2,1,2,78,"No"
"466",473,2,0,1,2,1,55,"Yes"
"467",474,0,0,1,2,1,71,"Yes"
"468",475,0,0,2,1,2,87,"No"
"469",476,0,0,2,1,2,70,"No"
"470",477,0,0,2,2,2,69,"No"
"471",478,2,0,3,2,3,56,"No"
"472",479,0,0,2,1,2,71,"No"
"473",480,0,3,2,1,5,40,"No"
"474",481,0,0,2,1,2,70,"No"
"475",482,0,0,1,1,1,99,"Yes"
"476",483,0,0,2,1,2,84,"No"
"477",484,0,3,2,1,5,41,"No"
"478",485,0,0,2,2,2,36,"No"
"479",486,7,0,2,1,2,58,"No"
"480",487,0,0,2,2,2,94,"No"
"481",488,0,0,4,2,4,28,"No"
"482",489,0,0,3,2,3,52,"No"
"483",490,1,0,1,1,1,71,"Yes"
"484",491,0,1,2,2,3,55,"No"
"485",492,0,1,2,2,3,40,"No"
"486",493,0,2,3,1,5,25,"No"
"487",494,1,0,2,2,2,72,"No"
"488",496,0,0,1,2,1,69,"Yes"
"489",497,0,2,2,2,4,46,"No"
"490",498,7,0,1,1,1,68,"Yes"
"491",499,0,0,2,2,2,73,"No"
"492",500,1,0,2,2,2,70,"No"
"493",502,7,0,2,2,2,76,"No"
"494",503,0,0,1,2,1,68,"Yes"
"495",504,0,0,2,2,2,48,"No"
"496",505,0,0,2,2,2,73,"No"
"497",506,1,0,3,2,3,67,"No"
"498",507,0,0,2,1,2,81,"No"
"499",508,0,0,2,2,2,72,"No"
"500",509,0,0,1,1,1,71,"Yes"
"501",510,0,1,2,1,3,46,"No"
"502",511,2,2,3,2,5,26,"No"
"503",512,2,0,2,1,2,73,"No"
"504",513,0,0,2,2,2,79,"No"
"505",514,0,0,2,1,2,87,"No"
"506",515,0,0,1,1,1,69,"Yes"
"507",516,0,2,3,2,5,55,"No"
"508",517,0,0,2,2,2,80,"No"
"509",518,0,0,1,1,1,90,"Yes"
"510",519,0,2,2,1,4,47,"No"
"511",520,1,0,1,1,1,82,"Yes"
"512",521,0,0,2,1,2,73,"No"
